t_s,I_A,SOC_static,Vt_static_V,SOC_dynamic,Vt_dynamic_V,V1_V,V2_V
2322.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15596072620057,0.0011650487895813952,0.0031634468177206103
2323.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156022814320648,0.001108228689628764,0.003158178797593964
2324.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156082122519033,0.0010541797386507496,0.0031529195501882306
2325.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156138785960861,0.0010027667861170657,0.003147669060894386
2326.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156192933219877,0.000953861272866567,0.003142427315127735
2327.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156244686599903,0.0009073409096423831,0.0031371942983278683
2328.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156294162440608,0.0008630893713050784,0.0031319699959586255
2329.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156341471408405,0.0008209960059592128,0.003126754393508052
2330.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156386718773117,0.0007809555582659667,0.0031215474764883597
2331.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156430004671186,0.0007428679062499693,0.0031163492304358874
2332.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156471424356019,0.0007066378109422087,0.0031111596409110587
2333.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156511068436142,0.0006721746782330014,0.0031059786934983444
2334.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156549023101727,0.0006393923323395306,0.00310080637380622
2335.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156585370340084,0.000608208800321501,0.003095642667467128
2336.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156620188140629,0.000578546107106091,0.0030904875601374363
2337.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156653550689866,0.0005503300805096554,0.0030853410374973985
2338.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156685528556853,0.0005234901657686311,0.0030802030852511157
2339.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15671618886963,0.0004979592491158783,0.003075073689126495
2340.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156745595483034,0.0004736734899613046,0.0030699528348752097
2341.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156773809138341,0.0004505721612571365,0.003064840508272662
2342.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156800887615105,0.00042859749764866887,0.0030597366951179415
2343.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156826885875608,0.0004076945510307894,0.0030546413812337857
2344.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156851856202255,0.0003878110531490948,0.003049554552466542
2345.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156875848328283,0.00036889728490202924,0.0030444761946861274
2346.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.15689890956207,0.0003509059520172332,0.0030394062937859887
2347.0,0.0,0.6519323671497593,13.160289221807872,0.6519323671497593,13.156921084905397,0.0003337920667912279,0.003034344835683065
