SOC,OCV_V,Reff_Ohm,Reff_mOhm,R0_Ohm,R1_Ohm,C1_F,R2_Ohm,C2_F
0.76,13.2273189056449,0.00393066814201952,3.93066814201952,0.00383066814201952,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.77,13.2338598799986,0.00396238884264632,3.96238884264632,0.00386238884264633,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.78,13.2402244371442,0.00399531484274195,3.99531484274195,0.00389531484274195,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.79,13.2467347390974,0.00403100177671348,4.03100177671348,0.00393100177671348,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.8,13.2525646054649,0.00405998160638924,4.05998160638924,0.00395998160638924,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.81,13.2567418428828,0.00407190354945827,4.07190354945827,0.00397190354945827,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.82,13.2593979004109,0.00406961516351477,4.06961516351477,0.00396961516351477,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.83,13.2615596146007,0.00406314060189779,4.06314060189779,0.00396314060189779,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.84,13.2635871613973,0.00405468158841134,4.05468158841134,0.00395468158841134,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.85,13.2658143928995,0.00404612988942457,4.04612988942457,0.00394612988942457,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.86,13.2683544690245,0.004036506225858,4.036506225858,0.003936506225858,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.87,13.2707043981618,0.00401758577850863,4.01758577850863,0.00391758577850863,3.50000000000001e-05,571428.57142857,6.50000000000002e-05,9230769.23076921
0.88,13.2729408816483,0.00399366050928212,3.99366050928212,0.00389366050928212,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.89,13.2752878851671,0.00397130017230825,3.97130017230825,0.00387130017230825,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.9,13.2785208749272,0.00396112280225664,3.96112280225664,0.00386112280225664,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.91,13.2827151890969,0.00396129149889842,3.96129149889842,0.00386129149889842,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.92,13.2867635372137,0.00395865971955283,3.95865971955283,0.00385865971955283,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.93,13.2898588041216,0.00394280293991111,3.94280293991111,0.00384280293991111,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.94,13.291562232772,0.00390338612553958,3.90338612553958,0.00380338612553958,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
0.95,13.2916559320935,0.00383778325114094,3.83778325114094,0.00373778325114094,3.5e-05,571428.571428571,6.5e-05,9230769.23076923
